row,x,y
1,153.2506655,61.7502365
2,49.7504585,66.2502455
3,1.91702950000001,48.4168765
4,-2.9163135,51.0835485
5,82.7505245,73.2502595
6,157.0840065,57.0835605
7,64.0838205,60.5835675
8,15.0837225000000,52.4168845
9,164.0840205,67.5835815
10,95.0838825,74.7502625
11,110.7505805,54.2502215
12,89.4172045,59.4168985
13,47.9171215,57.0835605
14,20.2503995,45.7502045
15,147.4173205,60.7502345
16,102.2505635,53.5835535
17,125.4172765,66.7502465
18,32.9170915,55.2502235
19,16.9170595000000,52.7502185
20,-8.9163255,42.9168655
21,14.5837215000000,59.0835645
22,98.9172235,71.2502555
23,89.9172055,61.5835695
24,42.7504445,57.2502275
25,143.2506455,68.0835825
26,153.0839985,69.2502515
27,86.7505325,68.2502495
28,75.2505095,55.7502245
29,108.7505765,53.9168875
30,83.4171925,52.9168855
31,176.5840455,69.2502515
32,18.9170635,68.0835825
33,23.9170735,67.0835805
34,25.0837425,43.5835335
35,96.0838845,62.4169045
36,83.2505255,72.2502575
37,62.0838165,65.7502445
38,-5.08298449999998,42.4168645
39,70.7505005,60.0835665
40,40.2504395,64.2502415
41,123.7506065,63.0835725
42,48.0837885,57.0835605
43,168.7506965,63.9169075
44,163.4173525,68.9169175
45,8.0837085,47.9168755
46,127.7506145,68.9169175
47,13.2503855000000,43.2501995
48,88.2505355,50.4168805
49,80.9171875,52.7502185
50,55.5838035,74.0835945
51,114.0839205,64.9169095
52,86.7505325,66.0835785
53,-6.2496535,57.2502275
54,97.5838875,70.5835875
55,30.7504205,47.5835415
56,84.5838615,72.7502585
57,54.4171345,66.7502465
58,156.0840045,53.4168865
59,123.0839385,71.2502555
60,76.2505115,67.4169145
61,48.2504555,67.0835805
62,169.4173645,66.7502465
63,106.5839055,76.7502665
64,114.7505885,51.2502155
65,80.4171865,52.7502185
66,159.4173445,67.4169145
67,104.4172345,72.7502585
68,66.0838245,59.0835645
69,149.2506575,63.7502405
70,160.2506795,62.9169055
71,109.7505785,63.2502395
72,25.2504095,52.7502185
73,132.4172905,51.9168835
74,-1.74964449999999,39.9168595
75,100.5838935,64.5835755
76,59.0838105,64.0835745
77,81.2505215,70.2502535
78,15.0837225000000,63.2502395
79,-0.416308499999985,47.5835415
80,56.5838055,65.7502445
81,128.0839485,52.4168845
82,134.2506275,60.2502335
83,172.5840375,68.7502505
84,72.9171715,65.5835775
85,79.7505185,55.0835565
86,151.5839955,59.7502325
87,112.0839165,55.0835565
88,96.4172185,79.4169385
89,167.4173605,66.4169125
90,103.9172335,53.9168875
91,17.9170615,52.4168845
92,83.4171925,60.9169015
93,134.0839605,55.4168905
94,103.5838995,68.0835825
95,53.2504655,66.0835785
96,106.7505725,62.0835705
97,100.2505595,60.7502345
98,93.9172135,75.0835965
99,34.7504285,52.0835505
100,57.0838065,65.7502445
101,83.7505265,62.5835715
102,86.7505325,56.2502255
103,159.0840105,64.9169095
104,146.7506525,60.5835675
105,146.2506515,75.4169305
106,103.0838985,63.0835725
107,149.7506585,65.7502445
108,3.08369850000003,46.7502065
109,104.0839005,62.0835705
110,132.5839575,50.9168815
111,-178.4166645,71.0835885
112,100.5838935,75.5835975
113,28.9170835,68.5835835
114,28.7504165,55.0835565
115,93.4172125,70.5835875
116,158.2506755,66.0835785
117,79.9171855,56.7502265
118,103.4172325,73.0835925
119,106.0839045,70.0835865
120,134.7506285,53.4168865
121,154.4173345,68.2502495
122,71.4171685,62.0835705
123,99.4172245,63.2502395
124,131.0839545,55.9168915
125,53.9171335,57.2502275
126,163.2506855,62.7502385
127,99.2505575,65.2502435
128,59.4171445,64.5835755
129,151.0839945,63.9169075
130,86.4171985,61.7502365
131,100.9172275,68.9169175
132,47.9171215,45.9168715
133,72.5838375,58.4168965
134,96.0838845,67.2502475
135,90.2505395,60.7502345
136,6.08370450000001,62.0835705
137,45.5837835,66.0835785
138,173.0840385,61.7502365
139,14.5837215000000,46.7502065
140,31.0837545,63.2502395
141,-7.91632349999998,39.5835255
142,101.0838945,54.7502225
143,46.4171185,47.4168745
144,81.2505215,57.0835605
145,-0.249641499999996,53.2502195
146,41.9171095,47.0835405
147,89.2505375,73.7502605
148,107.5839075,62.9169055
149,69.9171655,65.0835765
150,98.4172225,55.4168905
151,118.9172635,58.2502295
152,140.0839725,49.2502115
153,111.4172485,75.0835965
154,87.9172015,74.7502625
155,39.2504375,54.5835555
156,136.9172995,59.2502315
157,104.5839015,78.5836035
158,-0.416308499999985,43.5835335
159,90.4172065,73.0835925
160,108.0839085,57.4168945
161,158.4173425,62.9169055
162,105.9172375,63.4169065
163,98.7505565,71.4169225
164,135.2506295,60.7502345
165,25.4170765,66.2502455
166,57.5838075,60.2502335
167,79.5838515,67.0835805
168,177.2507135,69.4169185
169,130.7506205,49.0835445
170,42.7504445,54.4168885
171,19.7503985,43.4168665
172,166.9173595,62.5835715
173,88.5838695,69.9169195
174,151.4173285,61.0835685
175,8.75037650000002,40.4168605
176,147.0839865,61.0835685
177,88.5838695,61.0835685
178,119.4172645,57.0835605
179,58.2504755,54.9168895
180,62.5838175,54.7502225
181,144.5839815,69.2502515
182,134.9172955,61.5835695
183,19.9170655,54.0835545
184,107.7505745,63.2502395
185,76.7505125,68.4169165
186,51.0837945,60.5835675
187,38.4171025,44.5835355
188,15.5837235000000,47.4168745
189,127.4172805,57.5835615
190,107.7505745,53.9168875
191,113.2505855,55.2502235
192,118.0839285,65.2502435
193,26.9170795000000,65.4169105
194,115.2505895,55.4168905
195,116.5839255,64.0835745
196,119.2505975,69.4169185
197,57.5838075,59.5835655
198,134.4172945,65.5835775
199,91.9172095,69.4169185
200,128.9172835,61.4169025
201,-178.9166655,68.2502495
202,33.9170935,47.2502075
203,84.9171955,65.0835765
204,112.9172515,59.0835645
205,61.4171485,81.0836085
206,137.7506345,69.7502525
207,105.7505705,68.7502505
208,-5.7496525,40.7501945
209,7.41704050000001,45.4168705
210,105.5839035,50.9168815
211,46.7504525,48.9168775
212,61.4171485,66.7502465
213,28.4170825,70.9169215
214,8.75037650000002,50.4168805
215,94.9172155,65.2502435
216,114.4172545,60.0835665
217,12.2503835000000,42.5835315
218,130.5839535,55.2502235
219,106.5839055,71.2502555
220,143.7506465,59.9168995
221,76.7505125,56.2502255
222,53.0837985,80.2502735
223,98.0838885,73.5835935
224,25.2504095,60.5835675
225,80.9171875,55.2502235
226,27.0837465,80.0836065
227,0.41702650000002,48.9168775
228,27.9170815,53.0835525
229,8.0837085,51.7502165
230,111.4172485,49.4168785
231,71.2505015,57.9168955
232,99.4172245,74.0835945
233,46.9171195,52.7502185
234,59.7504785,61.2502355
235,42.0837765,44.2502015
