,x,y
1,-81.4164705,22.7501585
2,-67.9164435,-8.91657149999999
3,-71.7497845,-37.4166285
4,-62.9164335,-1.91655750000000
5,-58.2497575,-26.0832725
6,-67.2497755,-5.91656549999999
7,-71.0831165,-12.4165785000000
8,-60.9164295,-16.2499195
9,-52.5830795,3.08345250000001
10,-71.5831175,5.58345750000001
11,-65.7497725,-36.4166265
12,-54.7497505,-6.41656649999999
13,-61.0830965,-7.74990249999999
14,-77.7497965,7.7501285
15,-101.9165115,20.9168215
16,-35.5830455,-8.41657049999999
17,-51.2497435,-29.0832785
18,-46.7497345,-5.41656449999999
19,-61.2497635,-12.2499115
20,-45.5830655,-8.5832375
21,-69.5831135,-45.9166455
22,-99.5831735,17.2501475
23,-67.5831095,-23.5832675
24,-70.0831145,2.2501175
25,-71.5831175,-44.9166435
26,-71.2497835,-7.74990249999999
27,-58.4164245,-25.4166045
28,-58.5830915,-9.41657249999999
29,-64.7497705,-27.9166095
30,-61.5830975,-0.416554499999990
31,-68.9164455,5.75012450000001
32,-72.9164535,-53.0833265
33,-84.0831425,14.4168085
34,-61.4164305,-27.4166085
35,-64.4164365,-10.4165745
36,-74.0831225,8.9167975
37,-36.0830465,-6.0832325
38,-73.4164545,-10.0832405000000
39,-42.5830595,-10.5832415000000
40,-56.5830875,-31.2499495
41,-41.2497235,-4.74989649999999
42,-67.4164425,0.583447500000005
43,-47.9164035,-25.0832705
44,-69.0831125,-45.5833115
45,-36.2497135,-8.91657149999999
46,-85.4164785,10.5834675
47,-71.4164505,-41.7499705
48,-67.9164435,-2.08322449999999
49,-92.4164925,16.7501465
50,-55.4164185,-30.9166155
51,-49.2497395,-23.7499345
52,-52.7497465,-22.9165995
53,-67.5831095,-40.2499675
54,-55.7497525,-28.0832765
55,-45.9163995,-4.9165635
56,-73.0831205,2.2501175
57,-69.4164465,-53.7499945
58,-107.5831895,30.2501735
59,-51.7497445,-4.41656249999998
60,-57.5830895,-37.4166285
61,-70.2497815,-28.4166105
62,-71.9164515,-10.2499075
63,-60.0830945,-12.5832455
64,-55.2497515,-9.0832385
65,-73.7497885,4.58345550000001
66,-71.9164515,-45.5833115
67,-53.5830815,-24.2499355
68,-79.9164675,-4.74989649999999
69,-69.9164475,-7.58323549999999
70,-60.5830955,3.58345350000000
71,-58.4164245,5.9167915
72,-50.9164095,-4.08322849999999
73,-64.7497705,-38.4166305
74,-70.5831155,-39.5832995
75,-70.2497815,-11.916577500
76,-66.7497745,5.4167905
77,-72.5831195,-10.9165755
78,-69.2497795,0.083446500000008
79,-72.2497855,-7.08323449999999
80,-68.7497785,-19.2499255
81,-68.4164445,-41.9166375
82,-51.5830775,1.75011650000000
83,-89.2498195,20.7501545
84,-77.0831285,-5.24989749999999
85,-63.4164345,-19.2499255
86,-65.4164385,-39.7499665
87,-76.7497945,1.91678350000001
88,-52.7497465,-30.2499475
89,-67.9164435,-31.7499505
90,-79.9164675,21.9168235
91,-68.4164445,0.916781500000013
92,-55.7497525,-31.7499505
93,-104.9165175,19.4168185
94,-69.2497795,-45.5833115
95,-71.7497845,12.2501375
96,-61.2497635,-3.58322749999999
97,-53.5830815,-27.5832755
98,-72.0831185,0.083446500000008
99,-40.9163895,-6.41656649999999
100,-63.5831015,-37.4166285
101,-75.7497925,-11.7499105000000
102,-107.2498555,24.5834955
103,-65.2497715,-6.24989949999998
104,-67.5831095,-38.9166315
105,-56.9164215,-3.7498945
106,-43.2497275,-10.7499085
107,-60.2497615,-10.9165755
108,-52.4164125,-10.9165755
109,-72.4164525,-36.7499605
110,-49.5830735,-22.5832655000000
111,-73.5831215,-50.0833205
112,-68.2497775,-14.2499155000000
113,-48.5830715,-5.08323049999998
114,-77.2497955,7.9167955
115,-71.4164505,7.9167955
116,-65.2497715,-42.7499725
117,-56.4164205,-14.5832495
118,-64.2497695,2.75011850000001
119,-101.5831775,22.5834915
120,-56.7497545,-10.5832415000000
